method,offset,mask_iou,bbox_iou
lk_raw,0,1.0,1.0
lk_raw,1,0.8282874851368928,0.8257745285828908
lk_raw,2,0.8080569760546665,0.831266870101293
lk_raw,3,0.7855529446093216,0.8145072897275288
lk_raw,4,0.7688259271247677,0.8116101364294688
lk_raw,5,0.7471672804418463,0.7797138293584188
lk_raw,6,0.7397488794546458,0.7835473914941152
lk_raw,7,0.7221737000879951,0.7705852727095286
lk_raw,8,0.7147339388459145,0.7708403239647548
lk_raw,9,0.6988774050377254,0.7690897981325785
farneback,0,1.0,1.0
farneback,1,0.7781190080187023,0.7942495733499527
farneback,2,0.7399876934413092,0.7756558954715729
farneback,3,0.6794035138400287,0.7367782483498255
farneback,4,0.6446577213886624,0.7183808992306392
farneback,5,0.6169906611487036,0.6821151579419772
farneback,6,0.6126974879374641,0.6632779933512211
farneback,7,0.5878053157750394,0.6413083031773568
farneback,8,0.5717379531795083,0.6295878492916623
farneback,9,0.5550440235392846,0.6111666200682521
dis_flow,0,1.0,1.0
dis_flow,1,0.8109040867938132,0.8178183495998382
dis_flow,2,0.7809479817262784,0.823630553483963
dis_flow,3,0.7259648787268415,0.7876413136720657
dis_flow,4,0.7047625964599608,0.7849788149197896
dis_flow,5,0.6709241180223843,0.7444240227341652
dis_flow,6,0.6575319822745613,0.7354699060320854
dis_flow,7,0.6326633598307427,0.7167968471844991
dis_flow,8,0.5996270012068884,0.6945738057295482
dis_flow,9,0.5828275605699164,0.6886379341284434
template,0,1.0,1.0
template,1,0.8108726794076764,0.8202607989311218
template,2,0.7868564275858169,0.8267089188098907
template,3,0.7343873988411193,0.7860847592353821
template,4,0.7045544342081862,0.7754861225684484
template,5,0.6616282378475649,0.7223384847243627
template,6,0.6333949525927659,0.7116854985555013
template,7,0.6142403506168769,0.6952547391255697
template,8,0.592307420460638,0.6706948687632879
template,9,0.5734042551420148,0.6515107321242491
one_way_ensemble,0,1.0,1.0
one_way_ensemble,1,0.8289173739660388,0.8288808981577556
one_way_ensemble,2,0.8008827669208333,0.832815659046173
one_way_ensemble,3,0.771375840326689,0.8128044406572977
one_way_ensemble,4,0.7485274545118727,0.8090919117132823
one_way_ensemble,5,0.7202041120274857,0.766687673330307
one_way_ensemble,6,0.7095228416666359,0.7660287628571193
one_way_ensemble,7,0.6924551305126122,0.7591308424870173
one_way_ensemble,8,0.6788351616017603,0.7377382770180703
one_way_ensemble,9,0.6589923125811913,0.7353898887832959
improved,0,1.0,1.0
improved,1,0.8282874851368928,0.8257745285828908
improved,2,0.8080569760546665,0.831266870101293
improved,3,0.7855529446093216,0.8145072897275288
improved,4,0.7688259271247677,0.8116101364294688
improved,5,0.7471672804418463,0.7797138293584188
improved,6,0.7821396082933116,0.8181113799413046
improved,7,0.8087385804631483,0.8370282431443532
improved,8,0.8180877123358383,0.8389155646165212
improved,9,0.8441315063841138,0.8616041918595632
