method,anchor_frame,pred_frame,source,mask_iou,bbox_iou,gt_bbox,pred_bbox
lk_raw,0,1,lk_raw,0.8479427549194991,0.8378870487213135,"[138.0, 32.0, 184.0, 55.0]","[144.0, 32.0, 184.0, 56.0]"
lk_raw,10,11,lk_raw,0.8178506375227687,0.761904776096344,"[139.0, 51.0, 182.0, 71.0]","[134.0, 50.0, 179.0, 72.0]"
lk_raw,20,21,lk_raw,0.8171428571428572,0.843214750289917,"[140.0, 57.0, 186.0, 90.0]","[146.0, 58.0, 186.0, 90.0]"
lk_raw,30,31,lk_raw,0.8458149779735683,0.7938144207000732,"[154.0, 87.0, 198.0, 116.0]","[148.0, 86.0, 200.0, 115.0]"
lk_raw,40,41,lk_raw,0.7987117552334944,0.7130434513092041,"[166.0, 120.0, 221.0, 143.0]","[175.0, 121.0, 216.0, 143.0]"
lk_raw,50,51,lk_raw,0.8845553822152886,0.8491171598434448,"[203.0, 147.0, 251.0, 171.0]","[201.0, 146.0, 249.0, 170.0]"
lk_raw,60,61,lk_raw,0.8803894297635605,0.8779679536819458,"[232.0, 173.0, 287.0, 204.0]","[233.0, 171.0, 286.0, 203.0]"
lk_raw,70,71,lk_raw,0.8315334773218143,0.949999988079071,"[268.0, 202.0, 328.0, 244.0]","[269.0, 202.0, 326.0, 244.0]"
lk_raw,80,81,lk_raw,0.7916666666666666,0.868852436542511,"[296.0, 251.0, 353.0, 289.0]","[300.0, 251.0, 357.0, 289.0]"
lk_raw,90,91,lk_raw,0.8054567022538552,0.754181444644928,"[323.0, 297.0, 382.0, 328.0]","[329.0, 295.0, 377.0, 329.0]"
lk_raw,100,101,lk_raw,0.7974683544303798,0.796875,"[352.0, 333.0, 403.0, 361.0]","[348.0, 333.0, 412.0, 361.0]"
lk_raw,110,111,lk_raw,0.8455392809587217,0.8392857313156128,"[385.0, 357.0, 432.0, 384.0]","[384.0, 357.0, 440.0, 384.0]"
lk_raw,120,121,lk_raw,0.8149100257069408,0.8349609375,"[408.0, 365.0, 472.0, 397.0]","[408.0, 366.0, 465.0, 396.0]"
