frame_id,offset,source,mask_iou,bbox_iou,image
0,0,anchor,1.000000,1.000000,frame_0000_offset_0.png
1,1,lk_raw,0.847943,0.837887,frame_0001_offset_1.png
2,2,lk_raw,0.830716,0.822430,frame_0002_offset_2.png
3,3,lk_raw,0.854015,0.817365,frame_0003_offset_3.png
4,4,lk_raw,0.799314,0.788530,frame_0004_offset_4.png
5,5,lk_raw,0.809028,0.829365,frame_0005_offset_5.png
6,6,lk_raw,0.742200,0.715054,frame_0006_offset_6.png
7,7,lk_raw,0.722222,0.718213,frame_0007_offset_7.png
8,8,lk_raw,0.742251,0.793169,frame_0008_offset_8.png
9,9,lk_raw,0.733990,0.665529,frame_0009_offset_9.png
10,0,anchor,1.000000,1.000000,frame_0010_offset_0.png
11,1,lk_raw,0.817851,0.761905,frame_0011_offset_1.png
12,2,lk_raw,0.803922,0.847826,frame_0012_offset_2.png
13,3,lk_raw,0.784380,0.919183,frame_0013_offset_3.png
14,4,lk_raw,0.716239,0.796191,frame_0014_offset_4.png
15,5,lk_raw,0.649068,0.737018,frame_0015_offset_5.png
16,6,lk_raw,0.692890,0.678284,frame_0016_offset_6.png
17,7,lk_raw,0.636628,0.695055,frame_0017_offset_7.png
18,8,lk_raw,0.671470,0.728276,frame_0018_offset_8.png
19,9,lk_raw,0.628415,0.676923,frame_0019_offset_9.png
20,0,anchor,1.000000,1.000000,frame_0020_offset_0.png
21,1,lk_raw,0.817143,0.843215,frame_0021_offset_1.png
22,2,lk_raw,0.824536,0.969697,frame_0022_offset_2.png
23,3,lk_raw,0.743351,0.779874,frame_0023_offset_3.png
24,4,lk_raw,0.804631,0.860927,frame_0024_offset_4.png
25,5,lk_raw,0.763636,0.726397,frame_0025_offset_5.png
26,6,lk_raw,0.772920,0.694215,frame_0026_offset_6.png
27,7,lk_raw,0.771386,0.788018,frame_0027_offset_7.png
28,8,lk_raw,0.712813,0.760993,frame_0028_offset_8.png
29,9,lk_raw,0.713235,0.872358,frame_0029_offset_9.png
