frame_id,offset,source,mask_iou,bbox_iou,image
0,0,anchor,1.000000,1.000000,frame_0000_offset_0.png
1,1,lk_raw,0.847943,0.837887,frame_0001_offset_1.png
2,2,lk_raw,0.830716,0.822430,frame_0002_offset_2.png
3,3,lk_raw,0.854015,0.817365,frame_0003_offset_3.png
4,4,lk_raw,0.799314,0.788530,frame_0004_offset_4.png
5,5,lk_raw,0.809028,0.829365,frame_0005_offset_5.png
6,6,lk_raw,0.742200,0.715054,frame_0006_offset_6.png
7,7,lk_raw,0.722222,0.718213,frame_0007_offset_7.png
8,8,lk_raw,0.742251,0.793169,frame_0008_offset_8.png
9,9,lk_raw,0.733990,0.665529,frame_0009_offset_9.png
10,10,lk_raw,0.745363,0.707254,frame_0010_offset_10.png
11,11,lk_raw,0.745875,0.767123,frame_0011_offset_11.png
12,12,lk_raw,0.738288,0.798140,frame_0012_offset_12.png
13,13,lk_raw,0.682443,0.752412,frame_0013_offset_13.png
14,14,lk_raw,0.715856,0.764168,frame_0014_offset_14.png
15,15,lk_raw,0.654676,0.796681,frame_0015_offset_15.png
16,16,lk_raw,0.636364,0.626959,frame_0016_offset_16.png
17,17,lk_raw,0.622771,0.654802,frame_0017_offset_17.png
18,18,lk_raw,0.650943,0.728814,frame_0018_offset_18.png
19,19,lk_raw,0.677376,0.678233,frame_0019_offset_19.png
20,0,anchor,1.000000,1.000000,frame_0020_offset_0.png
21,1,lk_raw,0.817143,0.843215,frame_0021_offset_1.png
22,2,lk_raw,0.824536,0.969697,frame_0022_offset_2.png
23,3,lk_raw,0.743351,0.779874,frame_0023_offset_3.png
24,4,lk_raw,0.804631,0.860927,frame_0024_offset_4.png
25,5,lk_raw,0.763636,0.726397,frame_0025_offset_5.png
26,6,lk_raw,0.772920,0.694215,frame_0026_offset_6.png
27,7,lk_raw,0.771386,0.788018,frame_0027_offset_7.png
28,8,lk_raw,0.712813,0.760993,frame_0028_offset_8.png
29,9,lk_raw,0.713235,0.872358,frame_0029_offset_9.png
