method,offset,mask_iou,bbox_iou
lk_grabcut,0,1.0,1.0
lk_grabcut,1,0.8287204858208921,0.8256747384866079
lk_grabcut,2,0.8077153606450521,0.83121191461881
lk_grabcut,3,0.7859848492682564,0.8138889670372009
lk_grabcut,4,0.7688524003341624,0.8121710538864135
lk_grabcut,5,0.7462683692264008,0.7778985420862834
lk_grabcut,6,0.7391185655324107,0.7828362305959066
lk_grabcut,7,0.7224070599830658,0.76819007396698
lk_grabcut,8,0.7151379121759974,0.7699168354272843
lk_grabcut,9,0.6993788834252793,0.7677889426549276
