method,offset,mask_iou,bbox_iou
lk_mask_points_contour_snap,0,1.0,1.0
lk_mask_points_contour_snap,1,0.7672358129263336,0.8019812285900116
lk_mask_points_contour_snap,2,0.6940733846807429,0.7664973100026449
lk_mask_points_contour_snap,3,0.6424267957236203,0.7291691760222118
lk_mask_points_contour_snap,4,0.5877836193574417,0.6830681343873342
lk_mask_points_contour_snap,5,0.5449276260109204,0.6378471295038859
lk_mask_points_contour_snap,6,0.5066242870346512,0.6170107841491699
lk_mask_points_contour_snap,7,0.462358545170802,0.5977010786533355
lk_mask_points_contour_snap,8,0.42671021237644935,0.5759155213832855
lk_mask_points_contour_snap,9,0.38767302015091143,0.5463816523551941
