method,offset,mask_iou,bbox_iou
piecewise_smooth_contour_lk,0,1.0,1.0
piecewise_smooth_contour_lk,1,0.8056227522683079,0.8051039795080821
piecewise_smooth_contour_lk,2,0.7336171575317819,0.7615673542022705
piecewise_smooth_contour_lk,3,0.6787160405830829,0.7251006563504537
piecewise_smooth_contour_lk,4,0.6175464839258571,0.6894926299651464
piecewise_smooth_contour_lk,5,0.5618459386639812,0.6318901886542638
piecewise_smooth_contour_lk,6,0.5159365592652654,0.6058447857697805
piecewise_smooth_contour_lk,7,0.4597713284031493,0.5785930146773656
piecewise_smooth_contour_lk,8,0.4183715587300236,0.5450565993785859
piecewise_smooth_contour_lk,9,0.3777147748315984,0.515351806084315
